Tempo;Canal A;Canal B
(ms);(V);(mV)

-250,34731627;3,67336035;0,45625171
-250,18347627;3,76293230;0,00305185
-250,01963627;3,71807003;0,45625171
-249,85579627;3,71807003;0,91097748
-249,69195627;3,76293230;0,45625171
-249,52811627;3,76293230;0,45625171
-249,36427627;3,76293230;0,45625171
-249,20043627;3,76293230;0,45625171
-249,03659627;3,76293230;0,45625171
-248,87275627;3,71807003;0,00305185
-248,70891628;3,76293230;0,00305185
-248,54507628;3,76293230;0,00305185
-248,38123628;3,76293230;0,91097748
-248,21739628;3,71807003;0,45625171
-248,05355628;3,71807003;0,00305185
-247,88971628;3,76293230;0,45625171
-247,72587628;3,76293230;0,45625171
-247,56203628;3,76293230;0,45625171
-247,39819628;3,76293230;0,45625171
-247,23435628;3,76293230;0,45625171
-247,07051629;3,76293230;0,45625171
-246,90667629;3,76293230;0,45625171
-246,74283629;3,71807003;0,45625171
-246,57899629;3,76293230;0,45625171
-246,41515629;3,76293230;0,00305185
-246,25131629;3,76293230;0,91097748
-246,08747629;3,71807003;0,45625171
-245,92363629;3,76293230;0,45625171
-245,75979629;3,76293230;0,91097748
-245,59595629;3,76293230;0,00305185
-245,43211629;3,76293230;0,45625171
-245,26827630;3,71807003;0,45625171
-245,10443630;3,76293230;0,00305185
-244,94059630;3,71807003;0,00305185
-244,77675630;3,76293230;0,91097748
-244,61291630;3,71807003;0,45625171
-244,44907630;3,76293230;0,45625171
-244,28523630;3,71807003;0,45625171
-244,12139630;3,71807003;0,00305185
-243,95755630;3,76293230;0,45625171
-243,79371630;3,76293230;0,45625171
-243,62987631;3,76293230;0,45625171
-243,46603631;3,71807003;0,00305185
-243,30219631;3,76293230;0,45625171
-243,13835631;3,76293230;0,45625171
-242,97451631;3,71807003;0,45625171
-242,81067631;3,71807003;0,45625171
-242,64683631;3,76293230;0,45625171
-242,48299631;3,76293230;0,45625171
-242,31915631;3,76293230;0,00305185
-242,15531631;3,71807003;0,45625171
-241,99147632;3,71807003;0,00305185
-241,82763632;3,76293230;0,00305185
-241,66379632;3,76293230;0,00305185
-241,49995632;3,76293230;0,45625171
-241,33611632;3,71807003;1,36570334
-241,17227632;3,76293230;0,00305185
-241,00843632;3,76293230;0,00305185
-240,84459632;3,76293230;0,00305185
-240,68075632;3,71807003;0,00305185
-240,51691632;3,76293230;0,00305185
-240,35307633;3,76293230;0,00305185
-240,18923633;3,76293230;0,00305185
-240,02539633;3,76293230;0,00305185
-239,86155633;3,76293230;0,00305185
-239,69771633;3,76293230;0,00305185
-239,53387633;3,71807003;0,00305185
-239,37003633;3,71807003;0,00305185
-239,20619633;3,76293230;0,00305185
-239,04235633;3,76293230;0,00305185
-238,87851633;3,76293230;0,00305185
-238,71467634;3,71807003;0,45625171
-238,55083634;3,76293230;0,00305185
-238,38699634;3,76293230;0,00305185
-238,22315634;3,76293230;0,00305185
-238,05931634;3,71807003;0,45625171
-237,89547634;3,76293230;0,00305185
-237,73163634;3,76293230;0,00305185
-237,56779634;3,76293230;0,91097748
-237,40395634;3,76293230;0,00305185
-237,24011634;3,76293230;0,00305185
-237,07627635;3,76293230;0,91097748
-236,91243635;3,76293230;0,00305185
-236,74859635;3,76293230;0,00305185
-236,58475635;3,71807003;0,00305185
-236,42091635;3,76293230;0,45625171
-236,25707635;3,76293230;0,45625171
-236,09323635;3,76293230;0,00305185
-235,92939635;3,76293230;0,45625171
-235,76555635;3,71807003;0,45625171
-235,60171635;3,76293230;0,45625171
-235,43787636;3,76293230;0,45625171
-235,27403636;3,76293230;0,91097748
-235,11019636;3,71807003;0,45625171
-234,94635636;3,76293230;0,45625171
-234,78251636;3,76293230;0,00305185
-234,61867636;3,71807003;0,91097748
-234,45483636;3,76293230;0,00305185
-234,29099636;3,76293230;0,45625171
-234,12715636;3,71807003;0,00305185
-233,96331636;3,76293230;0,00305185
-233,79947637;3,76293230;0,45625171
-233,63563637;3,71807003;0,45625171
-233,47179637;3,71807003;0,91097748
-233,30795637;3,71807003;0,00305185
-233,14411637;3,76293230;0,45625171
-232,98027637;3,76293230;0,45625171
-232,81643637;3,80779433;0,45625171
-232,65259637;3,76293230;0,00305185
-232,48875637;3,76293230;0,45625171
-232,32491637;3,76293230;0,00305185
-232,16107638;3,76293230;0,45625171
-231,99723638;3,76293230;0,45625171
-231,83339638;3,76293230;0,45625171
-231,66955638;3,76293230;0,45625171
-231,50571638;3,76293230;0,45625171
-231,34187638;3,76293230;0,00305185
-231,17803638;3,71807003;0,45625171
-231,01419638;3,71807003;0,45625171
-230,85035638;3,76293230;0,00305185
-230,68651638;3,71807003;0,45625171
-230,52267639;3,71807003;0,00305185
-230,35883639;3,76293230;0,45625171
-230,19499639;3,76293230;0,45625171
-230,03115639;3,76293230;0,45625171
-229,86731639;3,71807003;0,45625171
-229,70347639;3,67336035;0,00305185
-229,53963639;3,76293230;0,00305185
-229,37579639;3,71807003;0,00305185
-229,21195639;3,76293230;0,00305185
-229,04811639;3,71807003;0,45625171
-228,88427640;3,76293230;0,00305185
-228,72043640;3,71807003;0,45625171
-228,55659640;3,76293230;0,45625171
-228,39275640;3,76293230;0,00305185
-228,22891640;3,76293230;0,00305185
-228,06507640;3,71807003;0,45625171
-227,90123640;3,71807003;0,00305185
-227,73739640;3,71807003;0,00305185
-227,57355640;3,71807003;0,00305185
-227,40971640;3,71807003;0,00305185
-227,24587641;3,71807003;0,00305185
-227,08203641;3,76293230;0,00305185
-226,91819641;3,76293230;0,00305185
-226,75435641;3,76293230;0,00305185
-226,59051641;3,71807003;0,00305185
-226,42667641;3,71807003;0,00305185
-226,26283641;3,76293230;0,00305185
-226,09899641;3,71807003;0,00305185
-225,93515641;3,76293230;0,45625171
-225,77131641;3,71807003;0,00305185
-225,60747642;3,76293230;0,00305185
-225,44363642;3,76293230;0,00305185
-225,27979642;3,76293230;0,45625171
-225,11595642;3,76293230;0,00305185
-224,95211642;3,71807003;0,00305185
-224,78827642;3,71807003;0,91097748
-224,62443642;3,76293230;0,45625171
-224,46059642;3,76293230;0,00305185
-224,29675642;3,71807003;0,00305185
-224,13291642;3,76293230;0,00305185
-223,96907643;3,71807003;0,00305185
-223,80523643;3,71807003;0,91097748
-223,64139643;3,71807003;0,00305185
-223,47755643;3,76293230;0,00305185
-223,31371643;3,58378863;0,00305185
-223,14987643;3,71807003;0,45625171
-222,98603643;3,76293230;0,45625171
-222,82219643;3,76293230;0,45625171
-222,65835643;3,71807003;0,00305185
-222,49451643;3,71807003;0,00305185
-222,33067644;3,76293230;0,00305185
-222,16683644;3,76293230;0,45625171
-222,00299644;3,76293230;0,00305185
-221,83915644;3,76293230;0,00305185
-221,67531644;3,76293230;0,45625171
-221,51147644;3,76293230;0,45625171
-221,34763644;3,76293230;0,00305185
-221,18379644;3,76293230;0,45625171
-221,01995644;3,76293230;0,00305185
-220,85611644;3,71807003;0,00305185
-220,69227645;3,76293230;0,91097748
-220,52843645;3,76293230;0,45625171
-220,36459645;3,71807003;0,00305185
-220,20075645;3,67336035;0,45625171
-220,03691645;3,76293230;0,45625171
-219,87307645;3,71807003;0,00305185
-219,70923645;3,62849808;0,45625171
-219,54539645;3,71807003;0,45625171
-219,38155645;3,76293230;0,45625171
-219,21771645;3,67336035;0,00305185
-219,05387646;3,76293230;0,00305185
-218,89003646;3,71807003;0,45625171
-218,72619646;3,76293230;0,45625171
-218,56235646;3,71807003;0,45625171
-218,39851646;3,71807003;0,00305185
-218,23467646;3,76293230;0,45625171
-218,07083646;3,76293230;0,00305185
-217,90699646;3,76293230;0,45625171
-217,74315646;3,76293230;0,45625171
-217,57931646;3,76293230;0,45625171
