Tempo;Canal A;Canal B
(ms);(V);(mV)

-250,31584501;3,76293230;-0,45167392
-250,15200501;3,76293230;0,00305185
-249,98816501;3,71807003;0,00305185
-249,82432502;3,76293230;0,00305185
-249,66048502;3,76293230;0,00305185
-249,49664502;3,76293230;0,00305185
-249,33280502;3,67336035;0,00305185
-249,16896502;3,71807003;-0,45167392
-249,00512502;3,71807003;0,00305185
-248,84128502;3,76293230;0,00305185
-248,67744502;3,76293230;-0,45167392
-248,51360502;3,76293230;0,00305185
-248,34976502;3,71807003;0,00305185
-248,18592503;3,76293230;0,00305185
-248,02208503;3,71807003;0,00305185
-247,85824503;3,76293230;0,00305185
-247,69440503;3,71807003;0,00305185
-247,53056503;3,71807003;0,00305185
-247,36672503;3,71807003;0,00305185
-247,20288503;3,76293230;0,00305185
-247,03904503;3,71807003;0,00305185
-246,87520503;3,62849808;-0,45167392
-246,71136503;3,76293230;0,00305185
-246,54752504;3,76293230;0,00305185
-246,38368504;3,76293230;0,00305185
-246,21984504;3,76293230;0,00305185
-246,05600504;3,76293230;0,00305185
-245,89216504;3,71807003;0,00305185
-245,72832504;3,71807003;0,00305185
-245,56448504;3,76293230;0,00305185
-245,40064504;3,71807003;0,00305185
-245,23680504;3,71807003;0,00305185
-245,07296504;3,71807003;0,00305185
-244,90912505;3,71807003;-0,45167392
-244,74528505;3,76293230;0,00305185
-244,58144505;3,76293230;0,00305185
-244,41760505;3,76293230;-0,45167392
-244,25376505;3,76293230;0,00305185
-244,08992505;3,71807003;0,00305185
-243,92608505;3,76293230;0,00305185
-243,76224505;3,76293230;0,00305185
-243,59840505;3,76293230;0,00305185
-243,43456505;3,76293230;0,00305185
-243,27072506;3,71807003;0,00305185
-243,10688506;3,76293230;0,00305185
-242,94304506;3,76293230;0,00305185
-242,77920506;3,76293230;0,00305185
-242,61536506;3,76293230;0,00305185
-242,45152506;3,76293230;0,00305185
-242,28768506;3,76293230;0,00305185
-242,12384506;3,71807003;0,00305185
-241,96000506;3,71807003;0,00305185
-241,79616506;3,67336035;0,00305185
-241,63232507;3,76293230;0,00305185
-241,46848507;3,85250401;0,00305185
-241,30464507;3,71807003;0,00305185
-241,14080507;3,76293230;0,00305185
-240,97696507;3,85250401;0,00305185
-240,81312507;3,71807003;0,00305185
-240,64928507;3,76293230;0,00305185
-240,48544507;3,76293230;0,00305185
-240,32160507;3,71807003;0,00305185
-240,15776507;3,71807003;0,00305185
-239,99392508;3,71807003;0,00305185
-239,83008508;3,76293230;0,00305185
-239,66624508;3,71807003;0,00305185
-239,50240508;3,71807003;0,00305185
-239,33856508;3,71807003;0,00305185
-239,17472508;3,71807003;0,00305185
-239,01088508;3,76293230;0,00305185
-238,84704508;3,76293230;0,00305185
-238,68320508;3,76293230;0,00305185
-238,51936508;3,76293230;0,00305185
-238,35552509;3,76293230;0,00305185
-238,19168509;3,71807003;0,00305185
-238,02784509;3,76293230;0,00305185
-237,86400509;3,76293230;0,00305185
-237,70016509;3,71807003;0,00305185
-237,53632509;3,71807003;0,00305185
-237,37248509;3,71807003;0,00305185
-237,20864509;3,76293230;0,00305185
-237,04480509;3,71807003;0,00305185
-236,88096509;3,76293230;0,00305185
-236,71712510;3,71807003;0,00305185
-236,55328510;3,76293230;0,00305185
-236,38944510;3,67336035;0,00305185
-236,22560510;3,71807003;0,00305185
-236,06176510;3,76293230;0,00305185
-235,89792510;3,71807003;0,00305185
-235,73408510;3,76293230;0,00305185
-235,57024510;3,76293230;0,00305185
-235,40640510;3,76293230;0,00305185
-235,24256510;3,76293230;0,00305185
-235,07872511;3,76293230;0,00305185
-234,91488511;3,71807003;0,00305185
-234,75104511;3,71807003;0,00305185
-234,58720511;3,71807003;0,00305185
-234,42336511;3,71807003;0,00305185
-234,25952511;3,76293230;0,00305185
-234,09568511;3,76293230;0,00305185
-233,93184511;3,76293230;0,00305185
-233,76800511;3,71807003;0,00305185
-233,60416511;3,71807003;0,00305185
-233,44032512;3,71807003;0,00305185
-233,27648512;3,76293230;0,00305185
-233,11264512;3,71807003;0,00305185
-232,94880512;3,71807003;0,00305185
-232,78496512;3,76293230;0,00305185
-232,62112512;3,76293230;0,00305185
-232,45728512;3,67336035;0,00305185
-232,29344512;3,76293230;0,00305185
-232,12960512;3,71807003;0,00305185
-231,96576512;3,76293230;0,00305185
-231,80192513;3,71807003;0,00305185
-231,63808513;3,76293230;0,00305185
-231,47424513;3,71807003;0,00305185
-231,31040513;3,76293230;0,00305185
-231,14656513;3,71807003;0,00305185
-230,98272513;3,71807003;-0,45167392
-230,81888513;3,76293230;0,00305185
-230,65504513;3,71807003;0,00305185
-230,49120513;3,76293230;0,00305185
-230,32736513;3,76293230;0,00305185
-230,16352514;3,76293230;0,00305185
-229,99968514;3,58378863;-0,90639967
-229,83584514;3,76293230;0,00305185
-229,67200514;3,71807003;0,00305185
-229,50816514;3,71807003;0,00305185
-229,34432514;3,76293230;0,00305185
-229,18048514;3,76293230;0,00305185
-229,01664514;3,76293230;0,00305185
-228,85280514;3,76293230;0,00305185
-228,68896514;3,76293230;0,00305185
-228,52512515;3,71807003;0,00305185
-228,36128515;3,71807003;0,00305185
-228,19744515;3,71807003;-0,45167392
-228,03360515;3,71807003;0,00305185
-227,86976515;3,71807003;0,00305185
-227,70592515;3,76293230;0,00305185
-227,54208515;3,71807003;0,00305185
-227,37824515;3,76293230;0,00305185
-227,21440515;3,76293230;0,00305185
-227,05056515;3,76293230;0,00305185
-226,88672516;3,71807003;0,00305185
-226,72288516;3,71807003;0,00305185
-226,55904516;3,76293230;0,00305185
-226,39520516;3,71807003;0,00305185
-226,23136516;3,71807003;0,00305185
-226,06752516;3,76293230;-0,45167392
-225,90368516;3,76293230;0,00305185
-225,73984516;3,71807003;0,00305185
-225,57600516;3,71807003;0,00305185
-225,41216516;3,85250401;-0,45167392
-225,24832517;3,76293230;0,00305185
-225,08448517;3,76293230;0,00305185
-224,92064517;3,76293230;0,00305185
-224,75680517;3,71807003;0,00305185
-224,59296517;3,71807003;0,00305185
-224,42912517;3,76293230;0,00305185
-224,26528517;3,71807003;0,00305185
-224,10144517;3,71807003;-0,45167392
-223,93760517;3,71807003;-0,45167392
-223,77376517;3,71807003;0,00305185
-223,60992517;3,76293230;0,00305185
-223,44608518;3,76293230;0,00305185
-223,28224518;3,71807003;0,00305185
-223,11840518;3,76293230;0,00305185
-222,95456518;3,71807003;0,00305185
-222,79072518;3,76293230;0,00305185
-222,62688518;3,76293230;0,00305185
-222,46304518;3,71807003;0,00305185
-222,29920518;3,76293230;0,00305185
-222,13536518;3,71807003;0,00305185
-221,97152518;3,71807003;0,00305185
-221,80768519;3,76293230;0,00305185
-221,64384519;3,76293230;0,00305185
-221,48000519;3,67336035;0,00305185
-221,31616519;3,76293230;0,00305185
-221,15232519;3,76293230;0,00305185
-220,98848519;3,76293230;-0,45167392
-220,82464519;3,71807003;0,00305185
-220,66080519;3,71807003;0,00305185
-220,49696519;3,76293230;-0,45167392
-220,33312519;3,71807003;0,00305185
-220,16928520;3,76293230;0,00305185
-220,00544520;3,71807003;0,00305185
-219,84160520;3,67336035;0,00305185
-219,67776520;3,76293230;-0,45167392
-219,51392520;3,80779433;-0,45167392
-219,35008520;3,71807003;0,00305185
-219,18624520;3,71807003;0,00305185
-219,02240520;3,80779433;-0,45167392
-218,85856520;3,71807003;0,00305185
-218,69472520;3,76293230;0,00305185
-218,53088521;3,76293230;0,00305185
-218,36704521;3,76293230;0,00305185
-218,20320521;3,76293230;0,00305185
-218,03936521;3,76293230;0,00305185
-217,87552521;3,76293230;0,00305185
-217,71168521;3,71807003;0,00305185
