Tempo;Canal A;Canal B
(ms);(V);(mV)

-250,21502376;3,76293230;0,00305185
-250,05118376;3,85250401;0,91097748
-249,88734376;3,71807003;0,00305185
-249,72350376;3,85250401;-0,45167392
-249,55966376;3,71807003;0,00305185
-249,39582376;3,76293230;0,00305185
-249,23198376;3,76293230;0,00305185
-249,06814376;3,71807003;0,00305185
-248,90430376;3,76293230;0,00305185
-248,74046376;3,71807003;0,00305185
-248,57662377;3,71807003;0,00305185
-248,41278377;3,76293230;0,00305185
-248,24894377;3,76293230;-0,45167392
-248,08510377;3,71807003;0,00305185
-247,92126377;3,76293230;0,00305185
-247,75742377;3,76293230;0,00305185
-247,59358377;3,76293230;0,00305185
-247,42974377;3,76293230;0,00305185
-247,26590377;3,76293230;0,00305185
-247,10206377;3,76293230;0,00305185
-246,93822378;3,76293230;0,00305185
-246,77438378;3,71807003;0,00305185
-246,61054378;3,76293230;0,00305185
-246,44670378;3,71807003;0,00305185
-246,28286378;3,76293230;0,00305185
-246,11902378;3,76293230;0,00305185
-245,95518378;3,76293230;0,00305185
-245,79134378;3,71807003;0,00305185
-245,62750378;3,76293230;0,00305185
-245,46366378;3,76293230;0,00305185
-245,29982379;3,76293230;0,00305185
-245,13598379;3,76293230;0,00305185
-244,97214379;3,71807003;0,00305185
-244,80830379;3,71807003;0,00305185
-244,64446379;3,76293230;0,00305185
-244,48062379;3,76293230;0,00305185
-244,31678379;3,76293230;0,00305185
-244,15294379;3,76293230;0,00305185
-243,98910379;3,76293230;0,00305185
-243,82526379;3,76293230;0,45625171
-243,66142380;3,71807003;0,00305185
-243,49758380;3,76293230;0,00305185
-243,33374380;3,67336035;-0,90639967
-243,16990380;3,76293230;0,00305185
-243,00606380;3,76293230;0,00305185
-242,84222380;3,71807003;0,00305185
-242,67838380;3,76293230;0,00305185
-242,51454380;3,76293230;0,00305185
-242,35070380;3,58378863;0,00305185
-242,18686380;3,76293230;0,00305185
-242,02302381;3,76293230;0,00305185
-241,85918381;3,76293230;0,00305185
-241,69534381;3,76293230;0,00305185
-241,53150381;3,71807003;0,00305185
-241,36766381;3,71807003;0,00305185
-241,20382381;3,76293230;0,00305185
-241,03998381;3,71807003;0,00305185
-240,87614381;3,71807003;0,00305185
-240,71230381;3,76293230;0,00305185
-240,54846381;3,76293230;0,00305185
-240,38462382;3,76293230;0,00305185
-240,22078382;3,76293230;0,00305185
-240,05694382;3,76293230;0,00305185
-239,89310382;3,71807003;0,00305185
-239,72926382;3,67336035;0,00305185
-239,56542382;3,71807003;0,00305185
-239,40158382;3,80779433;0,00305185
-239,23774382;3,76293230;0,00305185
-239,07390382;3,71807003;0,00305185
-238,91006382;3,71807003;0,00305185
-238,74622383;3,76293230;0,00305185
-238,58238383;3,76293230;0,00305185
-238,41854383;3,76293230;0,00305185
-238,25470383;3,67336035;0,00305185
-238,09086383;3,76293230;0,00305185
-237,92702383;3,76293230;0,00305185
-237,76318383;3,71807003;0,00305185
-237,59934383;3,71807003;0,00305185
-237,43550383;3,71807003;0,00305185
-237,27166383;3,76293230;0,00305185
-237,10782384;3,76293230;0,00305185
-236,94398384;3,76293230;0,00305185
-236,78014384;3,76293230;0,00305185
-236,61630384;3,71807003;0,00305185
-236,45246384;3,76293230;0,00305185
-236,28862384;3,76293230;0,00305185
-236,12478384;3,76293230;0,00305185
-235,96094384;3,76293230;0,00305185
-235,79710384;3,71807003;0,00305185
-235,63326384;3,71807003;0,00305185
-235,46942385;3,71807003;0,00305185
-235,30558385;3,76293230;0,00305185
-235,14174385;3,76293230;0,00305185
-234,97790385;3,67336035;0,00305185
-234,81406385;3,67336035;0,00305185
-234,65022385;3,76293230;0,00305185
-234,48638385;3,76293230;0,00305185
-234,32254385;3,71807003;-0,45167392
-234,15870385;3,71807003;0,00305185
-233,99486385;3,76293230;0,00305185
-233,83102386;3,76293230;0,00305185
-233,66718386;3,71807003;0,00305185
-233,50334386;3,76293230;0,00305185
-233,33950386;3,76293230;-0,45167392
-233,17566386;3,76293230;0,00305185
-233,01182386;3,76293230;0,00305185
-232,84798386;3,76293230;1,82042897
-232,68414386;3,71807003;0,00305185
-232,52030386;3,76293230;0,00305185
-232,35646386;3,58378863;0,00305185
-232,19262387;3,76293230;0,00305185
-232,02878387;3,76293230;0,00305185
-231,86494387;3,71807003;0,00305185
-231,70110387;3,71807003;0,00305185
-231,53726387;3,76293230;0,00305185
-231,37342387;3,76293230;0,00305185
-231,20958387;3,76293230;0,00305185
-231,04574387;3,76293230;0,00305185
-230,88190387;3,76293230;0,00305185
-230,71806387;3,71807003;0,00305185
-230,55422388;3,71807003;0,00305185
-230,39038388;3,76293230;0,00305185
-230,22654388;3,71807003;0,00305185
-230,06270388;3,67336035;0,00305185
-229,89886388;3,71807003;0,00305185
-229,73502388;3,71807003;0,00305185
-229,57118388;3,76293230;0,00305185
-229,40734388;3,71807003;0,00305185
-229,24350388;3,76293230;0,00305185
-229,07966388;3,71807003;0,00305185
-228,91582389;3,76293230;0,00305185
-228,75198389;3,71807003;0,00305185
-228,58814389;3,71807003;0,00305185
-228,42430389;3,76293230;0,00305185
-228,26046389;3,67336035;0,00305185
-228,09662389;3,76293230;0,00305185
-227,93278389;3,76293230;0,00305185
-227,76894389;3,80779433;0,91097748
-227,60510389;3,76293230;0,91097748
-227,44126389;3,76293230;0,00305185
-227,27742390;3,76293230;0,00305185
-227,11358390;3,76293230;0,00305185
-226,94974390;3,76293230;0,00305185
-226,78590390;3,71807003;0,00305185
-226,62206390;3,76293230;0,00305185
-226,45822390;3,76293230;0,00305185
-226,29438390;3,76293230;0,45625171
-226,13054390;3,76293230;0,00305185
-225,96670390;3,71807003;0,00305185
-225,80286390;3,76293230;0,00305185
-225,63902391;3,71807003;0,00305185
-225,47518391;3,71807003;0,00305185
-225,31134391;3,76293230;0,00305185
-225,14750391;3,76293230;0,00305185
-224,98366391;3,76293230;0,00305185
-224,81982391;3,71807003;0,00305185
-224,65598391;3,76293230;0,00305185
-224,49214391;3,71807003;0,00305185
-224,32830391;3,71807003;0,00305185
-224,16446391;3,71807003;0,00305185
-224,00062392;3,76293230;0,00305185
-223,83678392;3,76293230;0,00305185
-223,67294392;3,76293230;0,00305185
-223,50910392;3,76293230;0,00305185
-223,34526392;3,76293230;0,00305185
-223,18142392;3,76293230;0,00305185
-223,01758392;3,71807003;0,00305185
-222,85374392;3,71807003;0,91097748
-222,68990392;3,76293230;0,00305185
-222,52606392;3,76293230;0,00305185
-222,36222393;3,67336035;-0,45167392
-222,19838393;3,71807003;0,45625171
-222,03454393;3,71807003;0,00305185
-221,87070393;3,76293230;0,91097748
-221,70686393;3,71807003;0,00305185
-221,54302393;3,76293230;0,00305185
-221,37918393;3,76293230;0,00305185
-221,21534393;3,76293230;0,00305185
-221,05150393;3,76293230;0,00305185
-220,88766393;3,76293230;0,00305185
-220,72382394;3,76293230;0,00305185
-220,55998394;3,76293230;0,00305185
-220,39614394;3,76293230;0,00305185
-220,23230394;3,76293230;0,00305185
-220,06846394;3,76293230;0,00305185
-219,90462394;3,76293230;0,00305185
-219,74078394;3,76293230;0,00305185
-219,57694394;3,71807003;0,00305185
-219,41310394;3,76293230;0,91097748
-219,24926394;3,76293230;0,00305185
-219,08542395;3,76293230;0,00305185
-218,92158395;3,71807003;0,00305185
-218,75774395;3,71807003;0,00305185
-218,59390395;3,71807003;0,00305185
-218,43006395;3,76293230;0,00305185
-218,26622395;3,67336035;0,00305185
-218,10238395;3,71807003;0,00305185
-217,93854395;3,76293230;0,00305185
-217,77470395;3,67336035;0,00305185
-217,61086395;3,71807003;0,00305185
